,positions,eventName,goal,assist,key_pass,left_foot,right_foot
83,"[{'y': 37, 'x': 65}, {'y': 65, 'x': 71}]",Pass,False,False,False,False,False
84,"[{'y': 50, 'x': 81}, {'y': 36, 'x': 82}]",Pass,False,False,False,False,False
85,"[{'y': 76, 'x': 66}, {'y': 74, 'x': 74}]",Pass,False,False,False,False,False
86,"[{'y': 97, 'x': 69}, {'y': 55, 'x': 73}]",Pass,False,False,False,False,False
87,"[{'y': 52, 'x': 67}, {'y': 47, 'x': 68}]",Pass,False,False,False,False,False
88,"[{'y': 51, 'x': 70}, {'y': 54, 'x': 74}]",Pass,False,False,False,False,False
89,"[{'y': 34, 'x': 80}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
90,"[{'y': 100, 'x': 100}, {'y': 53, 'x': 92}]",Free Kick,False,False,False,False,False
91,"[{'y': 96, 'x': 78}, {'y': 89, 'x': 69}]",Pass,False,False,False,False,False
92,"[{'y': 100, 'x': 75}, {'y': 89, 'x': 84}]",Free Kick,False,False,False,False,False
93,"[{'y': 34, 'x': 68}, {'y': 48, 'x': 88}]",Pass,False,False,False,False,False
94,"[{'y': 92, 'x': 67}, {'y': 95, 'x': 80}]",Pass,False,False,False,False,False
95,"[{'y': 91, 'x': 70}, {'y': 7, 'x': 72}]",Pass,False,False,False,False,False
96,"[{'y': 40, 'x': 68}, {'y': 29, 'x': 59}]",Pass,False,False,False,False,False
97,"[{'y': 58, 'x': 72}, {'y': 82, 'x': 74}]",Pass,False,False,False,False,False
98,"[{'y': 52, 'x': 71}, {'y': 35, 'x': 66}]",Pass,False,False,False,False,False
99,"[{'y': 71, 'x': 72}, {'y': 80, 'x': 92}]",Pass,False,False,False,False,False
100,"[{'y': 49, 'x': 74}, {'y': 36, 'x': 85}]",Pass,False,False,False,False,False
101,"[{'y': 59, 'x': 64}, {'y': 92, 'x': 75}]",Pass,False,False,False,False,False
102,"[{'y': 52, 'x': 68}, {'y': 20, 'x': 60}]",Pass,False,False,False,False,False
103,"[{'y': 38, 'x': 75}, {'y': 58, 'x': 94}]",Pass,False,False,False,False,False
104,"[{'y': 5, 'x': 86}, {'y': 6, 'x': 78}]",Pass,False,False,False,False,False
105,"[{'y': 24, 'x': 80}, {'y': 43, 'x': 82}]",Pass,False,False,False,False,False
106,"[{'y': 36, 'x': 89}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
107,"[{'y': 65, 'x': 73}, {'y': 73, 'x': 93}]",Pass,False,False,False,False,False
108,"[{'y': 100, 'x': 100}, {'y': 88, 'x': 81}]",Free Kick,False,False,False,False,False
109,"[{'y': 90, 'x': 78}, {'y': 67, 'x': 68}]",Pass,False,False,False,False,False
110,"[{'y': 64, 'x': 92}, {'y': 67, 'x': 100}]",Others on the ball,False,False,False,False,False
111,"[{'y': 51, 'x': 71}, {'y': 58, 'x': 73}]",Pass,False,False,False,False,False
112,"[{'y': 92, 'x': 77}, {'y': 56, 'x': 91}]",Pass,False,False,False,False,False
113,"[{'y': 81, 'x': 34}, {'y': 87, 'x': 75}]",Pass,False,False,False,False,False
114,"[{'y': 79, 'x': 73}, {'y': 82, 'x': 90}]",Pass,False,False,False,False,False
115,"[{'y': 68, 'x': 12}, {'y': 88, 'x': 0}]",Others on the ball,False,False,False,False,False
116,"[{'y': 57, 'x': 57}, {'y': 40, 'x': 58}]",Pass,False,False,False,False,False
117,"[{'y': 71, 'x': 66}, {'y': 87, 'x': 87}]",Pass,False,False,False,False,False
118,"[{'y': 94, 'x': 77}, {'y': 76, 'x': 71}]",Pass,False,False,False,False,False
119,"[{'y': 96, 'x': 75}, {'y': 89, 'x': 83}]",Pass,False,False,False,False,False
120,"[{'y': 92, 'x': 89}, {'y': 50, 'x': 93}]",Free Kick,False,False,False,False,False
121,"[{'y': 50, 'x': 89}, {'y': 51, 'x': 93}]",Free Kick,False,False,False,True,False
122,"[{'y': 31, 'x': 88}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
123,"[{'y': 67, 'x': 67}, {'y': 65, 'x': 90}]",Pass,False,False,True,False,False
124,"[{'y': 50, 'x': 51}, {'y': 55, 'x': 35}]",Pass,False,False,False,False,False
125,"[{'y': 55, 'x': 79}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
126,"[{'y': 58, 'x': 72}, {'y': 100, 'x': 100}]",Free Kick,False,False,False,True,False
127,"[{'y': 52, 'x': 67}, {'y': 53, 'x': 52}]",Pass,False,False,False,False,False
128,"[{'y': 33, 'x': 62}, {'y': 37, 'x': 73}]",Pass,False,False,False,False,False
129,"[{'y': 37, 'x': 91}, {'y': 100, 'x': 100}]",Shot,True,False,False,True,False
130,"[{'y': 76, 'x': 67}, {'y': 49, 'x': 75}]",Pass,False,False,False,False,False
131,"[{'y': 91, 'x': 85}, {'y': 97, 'x': 81}]",Pass,False,False,False,False,False
132,"[{'y': 57, 'x': 71}, {'y': 75, 'x': 59}]",Pass,False,False,False,False,False
133,"[{'y': 64, 'x': 77}, {'y': 76, 'x': 88}]",Pass,False,False,False,False,False
134,"[{'y': 42, 'x': 87}, {'y': 100, 'x': 100}]",Shot,True,False,False,True,False
135,"[{'y': 42, 'x': 56}, {'y': 10, 'x': 66}]",Pass,False,False,False,False,False
136,"[{'y': 73, 'x': 49}, {'y': 68, 'x': 44}]",Pass,False,False,False,False,False
